c1,c2,R.beta.Bias,R.beta.sample.std,R.beta.est.std,R.beta.MSE,R.Sn.Size.Power,R.beta.std.SE,R.alpha1.Bias,R.alpha1.sample.std,R.alpha1.est.std,R.alpha1.MSE,R.Tn.Size.Power,R.alpha.std.SE,O.beta.Bias,O.beta.sample.std,O.beta.est.std,O.beta.MSE,O.Sn.Size.Power,O.beta.std.SE,O.alpha1.Bias,O.alpha1.sample.std,O.alpha1.est.std,O.alpha1.MSE,O.Tn.Size.Power,O.alpha.std.SE,Z.beta.Bias,Z.beta.sample.std,Z.beta.est.std,Z.beta.MSE,Z.Sn.Size.Power,Z.beta.std.SE,Z.alpha1.Bias,Z.alpha1.sample.std,Z.alpha1.est.std,Z.alpha1.MSE,Z.Tn.Size.Power,Z.alpha.std.SE
0.5,0,-0.003515693,0.297920095,0.31410149,0.088768743,0.728,0.024188818,-0.000792653,0.083187805,0.080437599,0.006920839,0.058,0.009031625,-0.003969795,0.298546318,0.313967757,0.089145663,0.724,0.024221578,-0.000338551,0.080391088,0.081648826,0.006462842,0.05,0.009149765,0.095479,0.28127506,0.300276874,0.088231899,0.664,0.028971059,-0.099833111,0.070712232,0.071954245,0.01496687,0.242,0.016048676
0.5,0.1,-0.009515606,0.293599539,0.315173615,0.086291236,0.736,0.024291926,-0.001755853,0.082610082,0.080804951,0.006827509,0.234,0.009298778,-0.010037202,0.294214884,0.315043702,0.086663143,0.734,0.024315546,-0.001234256,0.079105361,0.081887167,0.006259181,0.238,0.009408133,0.168329682,0.278431159,0.300969368,0.105858792,0.552,0.029501603,-0.179518634,0.070486699,0.076628123,0.037195315,0.138,0.014364631
0.5,0.2,-0.020015313,0.284986287,0.314833094,0.081617796,0.76,0.024899934,0.005148585,0.082540386,0.080531836,0.006839423,0.702,0.008729063,-0.021509029,0.283860251,0.314650952,0.08103928,0.766,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,0.728,0.008690207,0.240653557,0.269139236,0.300075832,0.130350063,0.488,0.030408274,-0.255649835,0.067398464,0.077673296,0.069899391,0.068,0.01488954
0.5,0.3,-0.020015313,0.284986287,0.314833094,0.081617796,0.76,0.024899934,0.005148585,0.082540386,0.080531836,0.006839423,0.94,0.008729063,-0.021509029,0.283860251,0.314650952,0.08103928,0.768,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,0.956,0.008690207,0.316747483,0.268303918,0.299635625,0.17231596,0.354,0.030395147,-0.331753475,0.067443431,0.078633019,0.114608984,0.032,0.014669523
0.5,0.4,-0.003487102,0.297936242,0.31410511,0.088778164,0.728,0.024185935,-0.000821244,0.083097657,0.080422746,0.006905895,0.986,0.009029921,-0.003969795,0.298546318,0.313967757,0.089145663,0.726,0.024221578,-0.000338551,0.080391088,0.081648826,0.006462842,0.992,0.009149765,0.402251635,0.280607215,0.298607329,0.240546787,0.258,0.02913513,-0.406528004,0.068506795,0.079450965,0.169958199,0.024,0.013874392
0.5,0.5,-0.020015313,0.284891212,0.314833094,0.081563615,0.76,0.024891628,0.005148585,0.08251285,0.080531836,0.006834878,0.99,0.008726151,-0.021509029,0.283765552,0.314650952,0.080985527,0.77,0.024907874,0.006642301,0.078772148,0.08190815,0.006249171,1,0.008687308,0.470756445,0.265780858,0.297963609,0.292251095,0.164,0.030471865,-0.485786895,0.069819187,0.082149317,0.240863626,0.036,0.014268579
0.5,0.6,-0.022649047,0.288340569,0.314388544,0.083653263,0.762,0.024850784,0.003178924,0.082828252,0.080576248,0.006870625,0.992,0.008762657,-0.023852675,0.287569213,0.314217506,0.083265003,0.768,0.024873507,0.004382553,0.079463025,0.0818981,0.006333579,1,0.008773278,0.541852065,0.266403251,0.296312187,0.364574352,0.096,0.030531517,-0.561471079,0.07259333,0.084582905,0.320519564,0.06,0.014097863
0.5,0.7,-0.020015313,0.284986287,0.314833094,0.081617796,0.76,0.024899934,0.005148585,0.082540386,0.080531836,0.006839423,0.996,0.008729063,-0.021509029,0.283860251,0.314650952,0.08103928,0.77,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,1,0.008690207,0.62395082,0.26232744,0.295438226,0.458130311,0.064,0.0307223,-0.639015923,0.075870457,0.087148831,0.414097677,0.082,0.014149084
0.5,0.8,-0.00947134,0.293565274,0.31517522,0.086270277,0.736,0.024292416,-0.001800119,0.082712368,0.080790894,0.006844576,0.996,0.009294623,-0.010037202,0.294214884,0.315043702,0.086663143,0.734,0.024315546,-0.001234256,0.079105361,0.081887167,0.006259181,1,0.009408133,0.699731826,0.264845156,0.294799651,0.559767586,0.048,0.02996188,-0.710993712,0.085119381,0.089195863,0.512757368,0.142,0.013965824
0.5,0.9,-0.020015313,0.284986287,0.314833094,0.081617796,0.76,0.024899934,0.005148585,0.082540386,0.080531836,0.006839423,1,0.008729063,-0.021509029,0.283860251,0.314650952,0.08103928,0.77,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,1,0.008690207,0.765530256,0.249267905,0.292502845,0.648171061,0.02,0.031188428,-0.780623629,0.09616566,0.092588563,0.618621084,0.24,0.014395795
0.5,1,-0.020015313,0.284986287,0.314833094,0.081617796,0.76,0.024899934,0.005148585,0.082540386,0.080531836,0.006839423,1,0.008729063,-0.021509029,0.283860251,0.314650952,0.08103928,0.77,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,1,0.008690207,0.827106455,0.240028092,0.291094258,0.741718573,0.014,0.031463609,-0.842206323,0.116504214,0.095066654,0.722884722,0.326,0.014662045
