c1,c2,R.beta.Bias,R.beta.sample.std,R.beta.est.std,R.beta.MSE,R.Sn.Size.Power,R.beta.std.SE,R.alpha1.Bias,R.alpha1.sample.std,R.alpha1.est.std,R.alpha1.MSE,R.Tn.Size.Power,R.alpha.std.SE,O.beta.Bias,O.beta.sample.std,O.beta.est.std,O.beta.MSE,O.Sn.Size.Power,O.beta.std.SE,O.alpha1.Bias,O.alpha1.sample.std,O.alpha1.est.std,O.alpha1.MSE,O.Tn.Size.Power,O.alpha.std.SE,Z.beta.Bias,Z.beta.sample.std,Z.beta.est.std,Z.beta.MSE,Z.Sn.Size.Power,Z.beta.std.SE,Z.alpha1.Bias,Z.alpha1.sample.std,Z.alpha1.est.std,Z.alpha1.MSE,Z.Tn.Size.Power,Z.alpha.std.SE
0.2,0.5,-0.019546229,0.259315207,0.280240506,0.067626432,0.208,0.021549196,0.003451836,0.063458028,0.063957679,0.004038836,0.97,0.005593464,-0.019880906,0.259143811,0.28013342,0.067550765,0.208,0.021564767,0.003786513,0.063094314,0.064594666,0.00399523,1,0.005678904,0.341986933,0.212979148,0.258952146,0.16231518,0.078,0.029886243,-0.358062968,0.083458475,0.084639198,0.135174406,0.376,0.012306869
0.3,0.5,-0.019495252,0.259868929,0.280786944,0.067911925,0.408,0.021504651,0.003400859,0.065844446,0.066311022,0.004347057,0.946,0.006062239,-0.019972333,0.259698769,0.280688396,0.067842345,0.414,0.021518937,0.00387794,0.065205199,0.066960539,0.004266756,1,0.006134995,0.393151964,0.226791004,0.261561408,0.206002626,0.142,0.028879152,-0.409256733,0.06754879,0.076502053,0.172053913,0.186,0.011175244
0.4,0.5,-0.012122408,0.261612986,0.28186634,0.068445859,0.63,0.02094253,-0.001956829,0.068653258,0.069296052,0.004717099,0.93,0.006953974,-0.010136075,0.26225443,0.281782349,0.068787221,0.628,0.0209654,-0.000943162,0.066885471,0.0692055,0.004474556,1,0.007118439,0.446322065,0.281130374,0.294442047,0.257347243,0.23,0.027409138,-0.250410969,0.076504,0.067972436,0.205969914,0.074,0.009729982
0.5,0.5,-0.019508553,0.261666247,0.282525788,0.068849808,0.83,0.021345606,0.00341416,0.073419962,0.07336639,0.005402147,0.91,0.007296583,-0.020155186,0.261450077,0.282459159,0.068762374,0.832,0.021353859,0.004060793,0.0720658,0.0740332,0.00520997,1,0.007348053,0.459500862,0.244337935,0.266594624,0.270842069,0.342,0.027028093,-0.475592638,0.047727352,0.060436726,0.228466258,0.024,0.009078545
0.6,0.5,-0.019389634,0.263170058,0.283718115,0.069634437,0.948,0.021254501,0.003295241,0.078381989,0.077845365,0.006154595,0.89,0.007988902,-0.020246612,0.262902807,0.283670821,0.069527811,0.948,0.021260258,0.004152219,0.076647395,0.078529437,0.005892064,1,0.008050708,0.478290906,0.250811385,0.268774815,0.291668541,0.488,0.026188907,-0.494451989,0.041281371,0.053684904,0.246186921,0.014,0.008071017
0.7,0.5,-0.019413392,0.264754655,0.285122624,0.070471907,0.996,0.021139734,0.003318999,0.083945769,0.082818206,0.007057908,0.876,0.008728392,-0.020338039,0.264473515,0.28509647,0.070359876,0.996,0.02114153,0.004243646,0.081768379,0.083532839,0.006704076,1,0.008785792,0.490387375,0.255695477,0.270698248,0.305859954,0.66,0.025421019,-0.50659627,0.035967641,0.047992151,0.257933452,0.008,0.007181662
0.8,0.5,-0.010035314,0.266812429,0.287011508,0.071188997,0.996,0.020588436,-0.003726093,0.090050371,0.087913446,0.008122953,0.868,0.009801469,-0.002063194,0.262276635,0.287008897,0.071441057,0.996,0.020592951,-0.002016043,0.086773575,0.0875291,0.007533718,1,0.009966394,0.511739813,0.272708421,0.29247,0.330840819,0.786,0.024155181,-0.316034389,0.031703821,0.093016544,0.267296623,0.016,0.006153688
0.9,0.5,-0.019235546,0.26847869,0.288549849,0.072450813,0.998,0.020883279,0.003141153,0.095893426,0.094037277,0.009205416,0.836,0.010271577,-0.020520892,0.268343555,0.288576571,0.072429371,0.998,0.020874246,0.004426499,0.093348117,0.094732125,0.008733465,1,0.010329067,0.50184462,0.261409972,0.273824922,0.320183196,0.93,0.024208838,-0.518168074,0.028145711,0.039035306,0.269290334,0.014,0.00573162
1,0.5,-0.019037948,0.270900824,0.290567278,0.0737497,1,0.02074648,0.002943555,0.102619916,0.100049602,0.010539512,1,0.011045607,-0.020612319,0.270632467,0.290623494,0.0736668,1,0.020733315,0.004517926,0.099651541,0.100795601,0.009950841,1,0.01112733,0.503678116,0.262889077,0.275077638,0.322802311,0.98,0.023706417,-0.519768801,0.025256986,0.035574873,0.270797522,0.018,0.005152636
0.5,-1,-0.019508553,0.261797309,0.282525788,0.068918415,0.83,0.021356297,0.00341416,0.073456737,0.07336639,0.005407549,1,0.007300238,-0.020155186,0.261581031,0.282459159,0.068830868,0.832,0.021364554,0.004060793,0.072101896,0.0740332,0.005215173,1,0.007351734,-0.047574915,0.207511721,0.270971126,0.045324487,0.958,0.026560443,0.031473499,0.149776368,0.052976825,0.023423541,1,0.010489616
0.5,-0.9,-0.019508553,0.261797309,0.282525788,0.068918415,0.83,0.021356297,0.00341416,0.073456737,0.07336639,0.005407549,1,0.007300238,-0.020155186,0.261581031,0.282459159,0.068830868,0.832,0.021364554,0.004060793,0.072101896,0.0740332,0.005215173,1,0.007351734,-0.047574864,0.207511742,0.270971129,0.045324491,0.958,0.026560444,0.031473447,0.14977633,0.052976821,0.023423527,1,0.010489625
0.5,-0.8,-0.01902956,0.2672,0.28283836,0.068895861,0.81,0.021871013,-0.002376281,0.074158376,0.073649487,0.005357795,1,0.007702033,-0.002867854,0.263442261,0.28086956,0.069325207,0.808,0.02079014,-0.001511382,0.071987837,0.073479,0.00704074,1,0.008778778,-0.030324401,0.267654971,0.29169842,0.044040156,0.954,0.025983901,0.026187458,0.151819026,0.053089536,0.0237348,1,0.009929957
0.5,-0.7,-0.019508553,0.261797309,0.282525788,0.068918415,0.83,0.021356297,0.00341416,0.073456737,0.07336639,0.005407549,1,0.007300238,-0.020155186,0.261581031,0.282459159,0.068830868,0.832,0.021364554,0.004060793,0.072101896,0.0740332,0.005215173,1,0.007351734,-0.047574892,0.207511647,0.270971124,0.045324454,0.958,0.026560444,0.031473475,0.149776288,0.052976828,0.023423516,1,0.01048962
0.5,-0.6,-0.019508553,0.261797309,0.282525788,0.068918415,0.83,0.021356297,0.00341416,0.073456737,0.07336639,0.005407549,1,0.007300238,-0.020155186,0.261581031,0.282459159,0.068830868,0.832,0.021364554,0.004060793,0.072101896,0.0740332,0.005215173,1,0.007351734,-0.047504279,0.207653543,0.270974094,0.04537665,0.956,0.026554824,0.031402903,0.149578673,0.052971497,0.023359922,1,0.01047918
0.5,-0.5,-0.019508553,0.261797309,0.282525788,0.068918415,0.83,0.021356297,0.00341416,0.073456737,0.07336639,0.005407549,0.996,0.007300238,-0.020155186,0.261581031,0.282459159,0.068830868,0.832,0.021364554,0.004060793,0.072101896,0.0740332,0.005215173,1,0.007351734,-0.047124119,0.208147489,0.270980468,0.04554606,0.956,0.026544443,0.031022801,0.148699253,0.052960193,0.023073882,0.996,0.010458749
0.5,-0.4,-0.01702956,0.26687,0.27583836,0.068895861,0.81,0.021171013,-0.003376281,0.07358376,0.073149487,0.005357795,0.99,0.007602033,-0.002567854,0.261142261,0.2757956,0.06892074,0.808,0.02025014,-0.001411382,0.070987837,0.071209379,0.006304074,1,0.00778778,-0.02630699,0.270179272,0.282335,0.044867384,0.948,0.025974892,0.022170439,0.143421625,0.053027487,0.021061291,0.974,0.009889688
